run_type,input_file,input_size,CLI_Flags,hashing_method,mod_value,bucket_size,strategy,c1,c2,collisions,primary_collisions,secondary_collisions,comparisons,insertions,load_factor,execution_time_sec,memory_usage_bytes,input_type
manual_div127_quadratic_c15_05_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.5,division,127.0,3,quadratic,1.5,0.5,15.0,10.0,5.0,75.0,60.0,0.5,0.0003419,0,normal
manual_div127_quadratic_c15_075_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.75,division,127.0,3,quadratic,1.5,0.75,14.0,10.0,4.0,74.0,60.0,0.5,0.0005248,0,normal
manual_div127_quadratic_c15_025_b3,LabHashingInput.txt,70,--hashing division --mod 127 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.25,division,127.0,3,quadratic,1.5,0.25,19.0,10.0,9.0,79.0,60.0,0.5,0.0002199,0,normal
manual_div41_linear_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy linear,division,41.0,1,linear,,,635.0,36.0,599.0,695.0,60.0,0.5,0.0005707,0,normal
manual_div41_quadratic_c05_05_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,41.0,1,quadratic,0.5,0.5,180.0,36.0,144.0,240.0,60.0,0.5,0.0002416,0,normal
manual_div41_quadratic_c05_075_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.75,division,41.0,1,quadratic,0.5,0.75,143.0,32.0,111.0,203.0,60.0,0.5,0.0006454,0,normal
manual_div41_quadratic_c05_025_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.25,division,41.0,1,quadratic,0.5,0.25,262.0,37.0,225.0,322.0,60.0,0.5,0.0008814,0,normal
manual_div41_quadratic_c10_05_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 1.0 --c2 0.5,division,41.0,1,quadratic,1.0,0.5,159.0,33.0,126.0,219.0,60.0,0.5,0.0002376,0,normal
manual_div41_quadratic_c10_075_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 1.0 --c2 0.75,division,41.0,1,quadratic,1.0,0.75,139.0,34.0,105.0,199.0,60.0,0.5,0.0002439,0,normal
manual_div41_quadratic_c10_025_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 1.0 --c2 0.25,division,41.0,1,quadratic,1.0,0.25,211.0,35.0,176.0,271.0,60.0,0.5,0.0003052,0,normal
manual_div41_quadratic_c15_05_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 1.5 --c2 0.5,division,41.0,1,quadratic,1.5,0.5,164.0,37.0,127.0,224.0,60.0,0.5,0.0002428,0,normal
manual_div41_quadratic_c15_075_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 1.5 --c2 0.75,division,41.0,1,quadratic,1.5,0.75,142.0,35.0,107.0,202.0,60.0,0.5,0.0002809,0,normal
manual_div41_quadratic_c15_025_b1,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 1 --strategy quadratic --c1 1.5 --c2 0.25,division,41.0,1,quadratic,1.5,0.25,198.0,35.0,163.0,258.0,60.0,0.5,0.0003834,0,normal
manual_div41_linear_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy linear,division,41.0,3,linear,,,635.0,36.0,599.0,695.0,60.0,0.5,0.0004345,0,normal
manual_div41_quadratic_c05_05_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5,division,41.0,3,quadratic,0.5,0.5,180.0,36.0,144.0,240.0,60.0,0.5,0.0005619,0,normal
manual_div41_quadratic_c05_075_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.75,division,41.0,3,quadratic,0.5,0.75,143.0,32.0,111.0,203.0,60.0,0.5,0.0005211,0,normal
manual_div41_quadratic_c05_025_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 0.5 --c2 0.25,division,41.0,3,quadratic,0.5,0.25,262.0,37.0,225.0,322.0,60.0,0.5,0.0008713,0,normal
manual_div41_quadratic_c10_05_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.5,division,41.0,3,quadratic,1.0,0.5,159.0,33.0,126.0,219.0,60.0,0.5,0.0002599,0,normal
manual_div41_quadratic_c10_075_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.75,division,41.0,3,quadratic,1.0,0.75,139.0,34.0,105.0,199.0,60.0,0.5,0.0004675,0,normal
manual_div41_quadratic_c10_025_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 1.0 --c2 0.25,division,41.0,3,quadratic,1.0,0.25,211.0,35.0,176.0,271.0,60.0,0.5,0.0004387,0,normal
manual_div41_quadratic_c15_05_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.5,division,41.0,3,quadratic,1.5,0.5,164.0,37.0,127.0,224.0,60.0,0.5,0.0002323,0,normal
manual_div41_quadratic_c15_075_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.75,division,41.0,3,quadratic,1.5,0.75,142.0,35.0,107.0,202.0,60.0,0.5,0.0002585,0,normal
manual_div41_quadratic_c15_025_b3,LabHashingInput.txt,70,--hashing division --mod 41 --bucket 3 --strategy quadratic --c1 1.5 --c2 0.25,division,41.0,3,quadratic,1.5,0.25,198.0,35.0,163.0,258.0,60.0,0.5,0.000383,0,normal
manual_custom_linear_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy linear,custom,,1,linear,,,27.0,16.0,11.0,87.0,60.0,0.5,0.0002538,0,normal
manual_custom_chaining_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy chaining,custom,,1,chaining,,,14.0,,,15.0,60.0,0.5,0.00026,0,normal
manual_custom_quadratic_c05_05_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,custom,,1,quadratic,0.5,0.5,20.0,15.0,5.0,80.0,60.0,0.5,0.001119,0,normal
manual_custom_quadratic_c05_10_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 1.0,custom,,1,quadratic,0.5,1.0,20.0,15.0,5.0,80.0,60.0,0.5,0.0003572,0,normal
manual_custom_quadratic_c05_025_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 0.5 --c2 0.25,custom,,1,quadratic,0.5,0.25,51.0,17.0,34.0,111.0,60.0,0.5,0.0002047,0,normal
manual_custom_quadratic_c10_05_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 1.0 --c2 0.5,custom,,1,quadratic,1.0,0.5,27.0,16.0,11.0,87.0,60.0,0.5,0.0002614,0,normal
manual_custom_quadratic_c10_10_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 1.0 --c2 1.0,custom,,1,quadratic,1.0,1.0,64.0,19.0,45.0,124.0,60.0,0.5,0.0002141,0,normal
manual_custom_quadratic_c10_025_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 1.0 --c2 0.25,custom,,1,quadratic,1.0,0.25,21.0,15.0,6.0,81.0,60.0,0.5,0.0004892,0,normal
manual_custom_quadratic_c15_05_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 1.5 --c2 0.5,custom,,1,quadratic,1.5,0.5,28.0,17.0,11.0,88.0,60.0,0.5,0.0005816,0,normal
manual_custom_quadratic_c15_10_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 1.5 --c2 1.0,custom,,1,quadratic,1.5,1.0,25.0,17.0,8.0,85.0,60.0,0.5,0.00021,0,normal
manual_custom_quadratic_c15_025_b1,LabHashingInput.txt,70,--hashing custom --bucket 1 --strategy quadratic --c1 1.5 --c2 0.25,custom,,1,quadratic,1.5,0.25,23.0,16.0,7.0,83.0,60.0,0.5,0.0002203,0,normal
manual_custom_linear_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy linear,custom,,3,linear,,,27.0,16.0,11.0,87.0,60.0,0.5,0.0001858,0,normal
manual_custom_chaining_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy chaining,custom,,3,chaining,,,14.0,,,15.0,60.0,0.5,0.0005597,0,normal
manual_custom_quadratic_c05_05_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 0.5 --c2 0.5,custom,,3,quadratic,0.5,0.5,20.0,15.0,5.0,80.0,60.0,0.5,0.0004119,0,normal
manual_custom_quadratic_c05_10_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 0.5 --c2 1.0,custom,,3,quadratic,0.5,1.0,20.0,15.0,5.0,80.0,60.0,0.5,0.0003356,0,normal
manual_custom_quadratic_c05_025_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 0.5 --c2 0.25,custom,,3,quadratic,0.5,0.25,51.0,17.0,34.0,111.0,60.0,0.5,0.0005019,0,normal
manual_custom_quadratic_c10_05_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 1.0 --c2 0.5,custom,,3,quadratic,1.0,0.5,27.0,16.0,11.0,87.0,60.0,0.5,0.0002448,0,normal
manual_custom_quadratic_c10_10_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 1.0 --c2 1.0,custom,,3,quadratic,1.0,1.0,64.0,19.0,45.0,124.0,60.0,0.5,0.0003003,0,normal
manual_custom_quadratic_c10_025_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 1.0 --c2 0.25,custom,,3,quadratic,1.0,0.25,21.0,15.0,6.0,81.0,60.0,0.5,0.0002255,0,normal
manual_custom_quadratic_c15_05_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 1.5 --c2 0.5,custom,,3,quadratic,1.5,0.5,28.0,17.0,11.0,88.0,60.0,0.5,0.0002157,0,normal
manual_custom_quadratic_c15_10_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 1.5 --c2 1.0,custom,,3,quadratic,1.5,1.0,25.0,17.0,8.0,85.0,60.0,0.5,0.0002174,0,normal
manual_custom_quadratic_c15_025_b3,LabHashingInput.txt,70,--hashing custom --bucket 3 --strategy quadratic --c1 1.5 --c2 0.25,custom,,3,quadratic,1.5,0.25,23.0,16.0,7.0,83.0,60.0,0.5,0.0006029,0,normal
scheme_1,custom_collisions_scheme12.txt,60,--hashing division --mod 120 --bucket 1 --strategy linear,division,120.0,1,linear,,,86.0,6.0,80.0,146.0,60.0,0.5,0.0007083,0,forced_collision
scheme_2,custom_collisions_scheme12.txt,60,--hashing division --mod 120 --bucket 1 --strategy quadratic --c1 0.5 --c2 0.5,division,120.0,1,quadratic,0.5,0.5,29.0,7.0,22.0,89.0,60.0,0.5,0.0002431,0,forced_collision
scheme_3,custom_collisions_scheme12.txt,60,--hashing division --mod 120 --bucket 1 --strategy chaining,division,120.0,1,chaining,,,5.0,,,5.0,60.0,0.5,0.000674,0,forced_collision
