scheme,strategy,hashing_method,bucket_index,key_count
6,chaining,division,21,1
6,chaining,division,22,0
6,chaining,division,23,0
6,chaining,division,24,1
6,chaining,division,25,0
6,chaining,division,26,0
6,chaining,division,27,1
6,chaining,division,28,1
6,chaining,division,29,1
6,chaining,division,30,0
6,chaining,division,31,2
6,chaining,division,32,1
6,chaining,division,33,0
6,chaining,division,34,2
6,chaining,division,35,0
6,chaining,division,36,0
6,chaining,division,37,0
6,chaining,division,38,0
6,chaining,division,39,0
6,chaining,division,40,1
6,chaining,division,41,0
6,chaining,division,42,0
6,chaining,division,43,0
6,chaining,division,44,1
6,chaining,division,45,1
6,chaining,division,46,0
6,chaining,division,47,0
6,chaining,division,48,0
6,chaining,division,49,0
6,chaining,division,50,3
6,chaining,division,51,0
6,chaining,division,52,0
6,chaining,division,53,0
6,chaining,division,54,1
6,chaining,division,55,1
6,chaining,division,56,1
6,chaining,division,57,1
6,chaining,division,58,0
6,chaining,division,59,0
6,chaining,division,60,0
6,chaining,division,61,0
6,chaining,division,62,1
6,chaining,division,63,1
6,chaining,division,64,0
6,chaining,division,65,0
6,chaining,division,66,1
6,chaining,division,67,0
6,chaining,division,68,0
6,chaining,division,69,0
6,chaining,division,70,1
6,chaining,division,71,0
6,chaining,division,72,1
6,chaining,division,73,0
6,chaining,division,74,0
6,chaining,division,75,1
6,chaining,division,76,0
6,chaining,division,77,0
6,chaining,division,78,0
6,chaining,division,79,0
6,chaining,division,80,1
6,chaining,division,81,0
6,chaining,division,82,0
6,chaining,division,83,1
6,chaining,division,84,0
6,chaining,division,85,1
6,chaining,division,86,0
6,chaining,division,87,0
6,chaining,division,88,1
6,chaining,division,89,1
6,chaining,division,90,0
6,chaining,division,91,1
6,chaining,division,92,1
6,chaining,division,93,1
6,chaining,division,94,0
6,chaining,division,95,1
6,chaining,division,96,1
6,chaining,division,97,0
6,chaining,division,98,0
6,chaining,division,99,1
6,chaining,division,100,0
6,chaining,division,101,0
6,chaining,division,102,0
6,chaining,division,103,0
6,chaining,division,104,1
6,chaining,division,105,0
6,chaining,division,106,1
6,chaining,division,107,0
6,chaining,division,108,1
6,chaining,division,109,0
6,chaining,division,110,0
6,chaining,division,111,1
6,chaining,division,112,1
6,chaining,division,113,1
6,chaining,division,114,2
6,chaining,division,115,0
6,chaining,division,116,0
6,chaining,division,117,0
6,chaining,division,118,0
6,chaining,division,119,0
7,linear,division,0,1
7,linear,division,1,0
7,linear,division,2,0
7,linear,division,3,0
7,linear,division,4,0
7,linear,division,5,1
7,linear,division,6,0
7,linear,division,7,1
7,linear,division,8,0
7,linear,division,9,0
7,linear,division,10,0
7,linear,division,11,1
7,linear,division,12,1
7,linear,division,13,1
7,linear,division,14,1
7,linear,division,15,1
7,linear,division,16,1
7,linear,division,17,0
7,linear,division,18,0
7,linear,division,19,1
7,linear,division,20,1
7,linear,division,21,0
7,linear,division,22,0
7,linear,division,23,0
7,linear,division,24,1
7,linear,division,25,0
7,linear,division,26,0
7,linear,division,27,1
7,linear,division,28,0
7,linear,division,29,1
7,linear,division,30,0
7,linear,division,31,0
7,linear,division,32,0
7,linear,division,33,0
7,linear,division,34,0
7,linear,division,35,1
7,linear,division,36,0
7,linear,division,37,1
7,linear,division,38,1
7,linear,division,39,1
7,linear,division,40,0
7,linear,division,41,0
7,linear,division,42,0
7,linear,division,43,0
7,linear,division,44,0
7,linear,division,45,0
7,linear,division,46,0
7,linear,division,47,0
7,linear,division,48,0
7,linear,division,49,0
7,linear,division,50,0
7,linear,division,51,0
7,linear,division,52,1
7,linear,division,53,0
7,linear,division,54,1
7,linear,division,55,0
7,linear,division,56,0
7,linear,division,57,1
7,linear,division,58,1
7,linear,division,59,1
7,linear,division,60,1
7,linear,division,61,0
7,linear,division,62,1
7,linear,division,63,0
7,linear,division,64,0
7,linear,division,65,1
7,linear,division,66,1
7,linear,division,67,1
7,linear,division,68,1
7,linear,division,69,0
7,linear,division,70,0
7,linear,division,71,1
7,linear,division,72,1
7,linear,division,73,1
7,linear,division,74,1
7,linear,division,75,1
7,linear,division,76,1
7,linear,division,77,1
7,linear,division,78,0
7,linear,division,79,1
7,linear,division,80,0
7,linear,division,81,1
7,linear,division,82,1
7,linear,division,83,0
7,linear,division,84,0
7,linear,division,85,1
7,linear,division,86,0
7,linear,division,87,0
7,linear,division,88,0
7,linear,division,89,0
7,linear,division,90,1
7,linear,division,91,1
7,linear,division,92,1
7,linear,division,93,1
7,linear,division,94,1
7,linear,division,95,1
7,linear,division,96,1
7,linear,division,97,1
7,linear,division,98,1
7,linear,division,99,1
7,linear,division,100,1
7,linear,division,101,1
7,linear,division,102,1
7,linear,division,103,1
7,linear,division,104,1
7,linear,division,105,1
7,linear,division,106,1
7,linear,division,107,1
7,linear,division,108,0
7,linear,division,109,0
7,linear,division,110,0
7,linear,division,111,1
7,linear,division,112,1
7,linear,division,113,0
7,linear,division,114,0
7,linear,division,115,0
7,linear,division,116,0
7,linear,division,117,0
7,linear,division,118,0
7,linear,division,119,0
8,quadratic,division,0,1
8,quadratic,division,1,0
8,quadratic,division,2,0
8,quadratic,division,3,0
8,quadratic,division,4,0
8,quadratic,division,5,1
8,quadratic,division,6,0
8,quadratic,division,7,1
8,quadratic,division,8,0
8,quadratic,division,9,0
8,quadratic,division,10,0
8,quadratic,division,11,1
8,quadratic,division,12,1
8,quadratic,division,13,1
8,quadratic,division,14,1
8,quadratic,division,15,1
8,quadratic,division,16,0
8,quadratic,division,17,1
8,quadratic,division,18,0
8,quadratic,division,19,1
8,quadratic,division,20,1
8,quadratic,division,21,0
8,quadratic,division,22,0
8,quadratic,division,23,0
8,quadratic,division,24,1
8,quadratic,division,25,0
8,quadratic,division,26,0
8,quadratic,division,27,1
8,quadratic,division,28,0
8,quadratic,division,29,1
8,quadratic,division,30,0
8,quadratic,division,31,0
8,quadratic,division,32,0
8,quadratic,division,33,0
8,quadratic,division,34,0
8,quadratic,division,35,1
8,quadratic,division,36,0
8,quadratic,division,37,1
8,quadratic,division,38,1
8,quadratic,division,39,1
8,quadratic,division,40,0
8,quadratic,division,41,0
8,quadratic,division,42,0
8,quadratic,division,43,0
8,quadratic,division,44,0
8,quadratic,division,45,0
8,quadratic,division,46,0
8,quadratic,division,47,0
8,quadratic,division,48,0
8,quadratic,division,49,0
8,quadratic,division,50,0
8,quadratic,division,51,0
8,quadratic,division,52,1
8,quadratic,division,53,0
8,quadratic,division,54,1
8,quadratic,division,55,0
8,quadratic,division,56,0
8,quadratic,division,57,1
8,quadratic,division,58,1
8,quadratic,division,59,1
8,quadratic,division,60,1
8,quadratic,division,61,0
8,quadratic,division,62,1
8,quadratic,division,63,0
8,quadratic,division,64,0
8,quadratic,division,65,1
8,quadratic,division,66,1
8,quadratic,division,67,1
8,quadratic,division,68,1
8,quadratic,division,69,0
8,quadratic,division,70,0
8,quadratic,division,71,1
8,quadratic,division,72,1
8,quadratic,division,73,1
8,quadratic,division,74,1
8,quadratic,division,75,1
8,quadratic,division,76,1
8,quadratic,division,77,1
8,quadratic,division,78,0
8,quadratic,division,79,1
8,quadratic,division,80,0
8,quadratic,division,81,1
8,quadratic,division,82,1
8,quadratic,division,83,0
8,quadratic,division,84,0
8,quadratic,division,85,1
8,quadratic,division,86,0
8,quadratic,division,87,0
8,quadratic,division,88,0
8,quadratic,division,89,0
8,quadratic,division,90,1
8,quadratic,division,91,1
8,quadratic,division,92,1
8,quadratic,division,93,1
8,quadratic,division,94,1
8,quadratic,division,95,1
8,quadratic,division,96,1
8,quadratic,division,97,1
8,quadratic,division,98,1
8,quadratic,division,99,1
8,quadratic,division,100,1
8,quadratic,division,101,1
8,quadratic,division,102,1
8,quadratic,division,103,1
8,quadratic,division,104,1
8,quadratic,division,105,1
8,quadratic,division,106,0
8,quadratic,division,107,1
8,quadratic,division,108,0
8,quadratic,division,109,0
8,quadratic,division,110,0
8,quadratic,division,111,1
8,quadratic,division,112,1
8,quadratic,division,113,0
8,quadratic,division,114,0
8,quadratic,division,115,0
8,quadratic,division,116,0
8,quadratic,division,117,0
8,quadratic,division,118,1
8,quadratic,division,119,0
9,chaining,division,0,1
9,chaining,division,1,0
9,chaining,division,2,0
9,chaining,division,3,0
9,chaining,division,4,0
9,chaining,division,5,1
9,chaining,division,6,0
9,chaining,division,7,1
9,chaining,division,8,0
9,chaining,division,9,0
9,chaining,division,10,0
9,chaining,division,11,1
9,chaining,division,12,1
9,chaining,division,13,2
9,chaining,division,14,2
9,chaining,division,15,0
9,chaining,division,16,0
9,chaining,division,17,0
9,chaining,division,18,0
9,chaining,division,19,2
9,chaining,division,20,0
9,chaining,division,21,0
9,chaining,division,22,0
9,chaining,division,23,0
9,chaining,division,24,1
9,chaining,division,25,0
9,chaining,division,26,0
9,chaining,division,27,1
9,chaining,division,28,0
9,chaining,division,29,1
9,chaining,division,30,0
9,chaining,division,31,0
9,chaining,division,32,0
9,chaining,division,33,0
9,chaining,division,34,0
9,chaining,division,35,1
9,chaining,division,36,0
9,chaining,division,37,2
9,chaining,division,38,0
9,chaining,division,39,1
9,chaining,division,40,0
9,chaining,division,41,0
9,chaining,division,42,0
9,chaining,division,43,0
9,chaining,division,44,0
9,chaining,division,45,0
9,chaining,division,46,0
9,chaining,division,47,0
9,chaining,division,48,0
9,chaining,division,49,0
9,chaining,division,50,0
9,chaining,division,51,0
9,chaining,division,52,1
9,chaining,division,53,0
9,chaining,division,54,1
9,chaining,division,55,0
9,chaining,division,56,0
9,chaining,division,57,1
9,chaining,division,58,1
9,chaining,division,59,1
9,chaining,division,60,1
9,chaining,division,61,0
9,chaining,division,62,1
9,chaining,division,63,0
9,chaining,division,64,0
9,chaining,division,65,2
9,chaining,division,66,0
9,chaining,division,67,1
9,chaining,division,68,1
9,chaining,division,69,0
9,chaining,division,70,0
9,chaining,division,71,1
9,chaining,division,72,1
9,chaining,division,73,2
9,chaining,division,74,0
9,chaining,division,75,2
9,chaining,division,76,1
9,chaining,division,77,0
9,chaining,division,78,0
9,chaining,division,79,1
9,chaining,division,80,0
9,chaining,division,81,2
9,chaining,division,82,0
9,chaining,division,83,0
9,chaining,division,84,0
9,chaining,division,85,1
9,chaining,division,86,0
9,chaining,division,87,0
9,chaining,division,88,0
9,chaining,division,89,0
9,chaining,division,90,2
9,chaining,division,91,0
9,chaining,division,92,1
9,chaining,division,93,2
9,chaining,division,94,2
9,chaining,division,95,0
9,chaining,division,96,0
9,chaining,division,97,2
9,chaining,division,98,1
9,chaining,division,99,2
9,chaining,division,100,2
9,chaining,division,101,0
9,chaining,division,102,1
9,chaining,division,103,0
9,chaining,division,104,1
9,chaining,division,105,1
9,chaining,division,106,0
9,chaining,division,107,1
9,chaining,division,108,0
9,chaining,division,109,0
9,chaining,division,110,0
9,chaining,division,111,1
9,chaining,division,112,1
9,chaining,division,113,0
9,chaining,division,114,0
9,chaining,division,115,0
9,chaining,division,116,0
9,chaining,division,117,0
9,chaining,division,118,0
9,chaining,division,119,0
10,linear,division,0,1
10,linear,division,1,1
10,linear,division,2,1
10,linear,division,3,1
10,linear,division,4,1
10,linear,division,5,1
10,linear,division,6,1
10,linear,division,7,1
10,linear,division,8,1
10,linear,division,9,1
10,linear,division,10,1
10,linear,division,11,1
10,linear,division,12,1
10,linear,division,13,1
10,linear,division,14,1
10,linear,division,15,1
10,linear,division,16,1
10,linear,division,17,1
10,linear,division,18,1
10,linear,division,19,1
10,linear,division,20,1
10,linear,division,21,1
10,linear,division,22,1
10,linear,division,23,1
10,linear,division,24,1
10,linear,division,25,1
10,linear,division,26,1
10,linear,division,27,1
10,linear,division,28,1
10,linear,division,29,1
10,linear,division,30,1
10,linear,division,31,1
10,linear,division,32,1
10,linear,division,33,1
10,linear,division,34,1
10,linear,division,35,1
10,linear,division,36,1
10,linear,division,37,1
10,linear,division,38,1
10,linear,division,39,1
10,linear,division,40,1
10,linear,division,41,1
10,linear,division,42,1
10,linear,division,43,1
10,linear,division,44,1
10,linear,division,45,1
10,linear,division,46,1
10,linear,division,47,1
10,linear,division,48,1
10,linear,division,49,1
10,linear,division,50,1
10,linear,division,51,1
10,linear,division,52,1
10,linear,division,53,1
10,linear,division,54,1
10,linear,division,55,1
10,linear,division,56,1
10,linear,division,57,1
10,linear,division,58,1
10,linear,division,59,1
10,linear,division,60,0
10,linear,division,61,0
10,linear,division,62,0
10,linear,division,63,0
10,linear,division,64,0
10,linear,division,65,0
10,linear,division,66,0
